Image,Mean Bad Scores,Std Deviation Bad Scores,Filter N,,True Positives: 13,,Results are calculated with the average of each image from each place (30 averaged scores). 
p0/i0,0.02071417,0.015920794,35,,False Positives: 0,,"Since the averages are specific to each image from each place, scores are much higher"
p0/i1,0.021771366,0.01543491,36,,True Negatives: 180,,
p1/i2,0.04099305,0.035052434,4,,False Negatives: 7,,
p1/i0,0.034908116,0.01886901,25,,Here are the calculated metrics:,,
p2/i2,0.047321245,0.032002937,1,,,,
p2/i0,0.05843441,0.033207085,4,,Accuracy: 0.965 (96.5%),,
p3/i2,0.042765744,0.031118749,3,,Precision: 1.0 (100%),,
p3/i0,0.044231698,0.04415222,4,,Recall: 0.65 (65%),,
p4/i1,0.055427328,0.05289113,8,,F1 Score: 0.7879 (78.79%),,
p4/i2,0.059263963,0.049593646,5,,,,
p5/i0,0.06821527,0.04899012,3,,,,
p5/i1,0.038278773,0.03513867,5,,,,
p6/i1,0.04558173,0.050932955,7,,,,
p6/i2,0.07815227,0.06872261,8,,,,
p7/i2,0.07366613,0.063015096,4,,,,
p7/i0,0.0713499,0.06929066,6,,,,
p8/i0,0.039906885,0.029441085,7,,,,
p8/i2,0.048650045,0.05045645,4,,,,
p9/i2,0.025980815,0.020542448,6,,,,
p9/i1,0.026477437,0.025429273,5,,,,
