Image,Mean Bad Scores,Std Deviation Bad Scores,Filter N,,True Positives: 10,,Results are calculated with the average of all 3 images from each place (10 averaged scores). 
p0/i1,0.021771366,0.01543491,36,,False Positives: 0,,"Since the averages are specific to each place, scores are lower"
p0/i0,0.02071417,0.015920794,35,,True Negatives: 180,,
p1/i1,0.030777454,0.021158613,23,,False Negatives: 10,,
p1/i0,0.034908116,0.01886901,25,,Here are the calculated metrics:,,
p2/i1,0.046460144,0.028599761,5,,,,
p2/i0,0.0584344,0.03320709,4,,Accuracy: 0.950 (95.0%),,
p3/i0,0.044231698,0.04415222,4,,Precision: 1.0 (100%),,
p3/i1,0.033323888,0.025025863,8,,Recall: 0.5 (50%),,
p4/i0,0.072814375,0.059855796,7,,F1 Score: 0.6667 (66.67%),,
p4/i2,0.059263963,0.049593646,5,,,,
p5/i2,0.041706212,0.047085695,8,,,,
p5/i0,0.06821527,0.04899012,3,,,,
p6/i0,0.07048464,0.062389217,5,,,,
p6/i2,0.07815227,0.06872261,4,,,,
p7/i0,0.0713499,0.06929066,6,,,,
p7/i2,0.07366613,0.063015096,3,,,,
p8/i0,0.039906885,0.029441085,7,,,,
p8/i1,0.040807545,0.019723527,11,,,,
p9/i2,0.025980813,0.020542447,19,,,,
p9/i0,0.03811969,0.024986953,5,,,,
