Image,Mean Bad Scores,Std Deviation Bad Scores,Filter N,Sample Count
p0/i0,0.023182337,0.015629124,17.27777778,18
p0/i1,0.022056218,0.015475444,17.35,20
p0/i2,0.042953826,0.034732541,2.318181818,22
p1/i0,0.031925956,0.021655685,11.19047619,21
p1/i1,0.029995171,0.02106008,12.16666667,18
p1/i2,0.039656447,0.031701143,2.761904762,21
p2/i0,0.059134482,0.028666724,2.45,20
p2/i1,0.048412272,0.027839112,3.19047619,21
p2/i2,0.04824516,0.029045025,2.789473684,19
p3/i0,0.047722718,0.04581057,2.055555556,18
p3/i1,0.029263525,0.025968407,6.833333333,18
p3/i2,0.039478453,0.0334367,3.958333333,24
p4/i0,0.067845809,0.059069832,5,15
p4/i1,0.052025856,0.054761489,4.95,20
p4/i2,0.060997983,0.061514036,3.2,25
p5/i0,0.066937238,0.04854081,2,25
p5/i1,0.042206538,0.042758301,5.125,16
p5/i2,0.043629593,0.052217299,4.421052632,19
p6/i0,0.064813917,0.05896997,4.473684211,19
p6/i1,0.049141572,0.055136599,4.388888889,18
p6/i2,0.073036941,0.064786102,4.782608696,23
p7/i0,0.070509899,0.067458392,3.65,20
p7/i1,0.071921157,0.063376914,3.904761905,21
p7/i2,0.077392762,0.066686665,2.473684211,19
p8/i0,0.04432663,0.028928927,4.6875,16
p8/i1,0.044364564,0.027535195,5.789473684,19
p8/i2,0.050900534,0.046964068,2.72,25
p9/i0,0.037482211,0.023687797,3.545454545,22
p9/i1,0.028130576,0.026027564,7.631578947,19
p9/i2,0.024123502,0.020554141,9.157894737,19
