Timestamp,Dataset,Type,Seed,True Positives,False Positives,True Negatives,False Negatives,Precision,Recall,Accuracy,F1 Score
6/10/2025 10:02,FordhamPlaces,Place-level,random,7,12,208,15,0.3684,0.3182,0.8884,0.3415
6/10/2025 10:02,FordhamPlaces,Image-level,random,9,11,209,13,0.45,0.4091,0.9008,0.4286
6/10/2025 10:03,FordhamPlaces,Place-level,random,10,8,212,12,0.5556,0.4545,0.9174,0.5
6/10/2025 10:03,FordhamPlaces,Image-level,random,14,9,211,8,0.6087,0.6364,0.9298,0.6222
2025-06-10 10:06:18,FordhamPlaces,Place-level,random,12,9,211,10,0.5714,0.5455,0.9215,0.5581
2025-06-10 10:06:18,FordhamPlaces,Image-level,random,14,16,204,8,0.4667,0.6364,0.9008,0.5385
2025-06-10 10:08:30,MatchingTriplets,Place-level,random,8,1,179,12,0.8889,0.4000,0.9350,0.5517
2025-06-10 10:08:30,MatchingTriplets,Image-level,random,13,1,179,7,0.9286,0.6500,0.9600,0.7647
2025-06-13 11:01:06,MatchingTriplets,Place-level,random,9,0,180,11,1.0000,0.4500,0.9450,0.6207
2025-06-13 11:01:06,MatchingTriplets,Image-level,random,12,0,180,8,1.0000,0.6000,0.9600,0.7500
2025-06-13 11:20:40,FordhamPlaces,Place-level,random,14,0,220,8,1.0000,0.6364,0.9669,0.7778
2025-06-13 11:20:40,FordhamPlaces,Image-level,random,17,1,219,5,0.9444,0.7727,0.9752,0.8500
2025-06-17 17:14:29,Tokyo247,Place-level,random,103,0,19404,95,1.0000,0.5202,0.9952,0.6844
2025-06-17 17:14:29,Tokyo247,Image-level,random,131,14,19390,67,0.9034,0.6616,0.9959,0.7638
2025-06-17 17:14:59,Tokyo247,Place-level,random,101,0,19404,97,1.0000,0.5101,0.9951,0.6756
2025-06-17 17:14:59,Tokyo247,Image-level,random,127,21,19383,71,0.8581,0.6414,0.9953,0.7341
2025-06-17 17:19:50,Tokyo247,Place-level,random,102,0,19404,96,1.0000,0.5152,0.9951,0.6800
2025-06-17 17:19:50,Tokyo247,Image-level,random,127,27,19377,71,0.8247,0.6414,0.9950,0.7216
2025-06-17 17:20:06,Tokyo247,Place-level,random,107,1,19403,91,0.9907,0.5404,0.9953,0.6993
2025-06-17 17:20:06,Tokyo247,Image-level,random,135,13,19391,63,0.9122,0.6818,0.9961,0.7803
2025-06-17 17:26:07,Tokyo247,Place-level,random,106,0,19404,92,1.0000,0.5354,0.9953,0.6974
2025-06-17 17:26:07,Tokyo247,Image-level,random,132,29,19375,66,0.8199,0.6667,0.9952,0.7354
2025-08-16 09:57:41,StLuciaSmall,Place-level,random,6,2,33,1,0.7500,0.8571,0.9286,0.8000
2025-08-16 09:57:41,StLuciaSmall,Image-level,random,7,6,29,0,0.5385,1.0000,0.8571,0.7000
